script_id,imdb_id,title,year,gross
5401,tt2935476,Far from the Madding Crowd,2015,12
8241,tt0097334,Farewell to the King,1989,5
2267,tt0116282,Fargo,1996,48
906,tt0083929,Fast Times at Ridgemont High,1982,
2273,tt0106873,Fatal Instinct,1993,16
5309,tt0101862,Father of the Bride,1991,184
2276,tt0120669,Fear and Loathing in Las Vegas,1998,19
4204,tt0362636,Fear of Clowns,2004,
910,tt0426459,Feast,2005,
909,tt0091042,Ferris Bueller's Day Off,1986,164
2282,tt0097351,Field of Dreams,1989,141
912,tt0137523,Fight Club,1999,63
915,tt0195714,Final Destination,2000,86
2294,tt0309593,Final Destination 2,2003,67
7904,tt0414982,Final Destination 3,2006,71
4214,tt2219868,Finders Keepers: The Root of All Evil,2013,
2296,tt0266543,Finding Nemo,2003,549
6539,tt0087262,Firestarter,1984,39
916,tt0065724,Five Easy Pieces,1970,
4218,tt0240507,Five Feet High and Rising,2000,
7154,tt0418689,Flags of Our Fathers,2006,44
2299,tt0080745,Flash Gordon,1980,
917,tt0089155,Fletch,1985,114
2303,tt1907668,Flight,2012,102
4220,tt0408790,Flightplan,2005,121
4221,tt1405500,For Colored Girls,2010,41
6100,tt0082398,For Your Eyes Only,1981,194
8850,tt0800039,Forgetting Sarah Marshall,2008,76
921,tt0109830,Forrest Gump,1994,686
7378,tt1341167,Four Lions,2010,
2311,tt0113101,Four Rooms,1995,8
2313,tt1100089,Foxcatcher,2014,12
2314,tt0488120,Fracture,2007,49
4227,tt0264616,Frailty,2001,20
2316,tt0083967,Frances,1982,14
8521,tt0021884,Frankenstein,1931,298
5404,tt1142977,Frankenweenie,2012,38
2325,tt0329101,Freddy vs. Jason,2003,118
6356,tt0101917,Freddy's Dead: The Final Nightmare,1991,72
6333,tt0073018,French Connection II,1975,
2331,tt0186151,Frequency,2000,72
2334,tt0080761,Friday the 13th,1980,121
7174,tt0758746,Friday the 13th,2009,75
4235,tt0083972,Friday the 13th Part III,1982,107
926,tt0097388,Friday the 13th Part VIII: Jason Takes Manhattan,1989,31
4241,tt0101921,Fried Green Tomatoes,1991,165
6042,tt1632708,Friends with Benefits,2011,61
2337,tt1438176,Fright Night,2011,20
2338,tt0116367,From Dusk Till Dawn,1996,20
6196,tt0120860,From Dusk Till Dawn 2: Texas Blood Money,1999,
6965,tt0870111,Frost/Nixon,2008,22
2343,tt2294629,Frozen,2013,429
2344,tt0978759,Frozen River,2008,3
2346,tt2334649,Fruitvale Station,2013,17
2350,tt0093058,Full Metal Jacket,1987,103
4251,tt0369441,Fun with Dick and Jane,2005,149
2352,tt1201167,Funny People,2009,60
6270,tt2713180,Fury,2014,91
937,tt0119173,G.I. Jane,1997,91
935,tt1046173,G.I. Joe: The Rise of Cobra,2009,174
4256,tt0177789,Galaxy Quest,1999,122
2358,tt0425055,Game 6,2005,
939,tt1034032,Gamer,2009,23
2368,tt0083987,Gandhi,1982,
2370,tt0118900,Gang Related,1997,10
942,tt0217505,Gangs of New York,2002,116
7849,tt1321870,Gangster Squad,2013,49
2374,tt0333766,Garden State,2004,37
941,tt0119177,Gattaca,1997,23
2380,tt0208988,Get Carter,2000,24
7858,tt2561572,Get Hard,2015,93
4260,tt1226229,Get Him to the Greek,2010,67
2382,tt1194263,Get Low,2009,10
5408,tt2473602,Get on Up,2014,32
2384,tt0113161,Get Shorty,1995,144
2389,tt0099653,Ghost,1990,448
2396,tt0288477,Ghost Ship,2002,45
7324,tt0082449,Ghost Story,1981,
7329,tt0995039,Ghost Town,2008,15
2399,tt0162346,Ghost World,2001,9
7290,tt0087332,Ghostbusters,1984,592
2405,tt0097428,Ghostbusters II,1989,245
953,tt0210070,Ginger Snaps,2000,
5315,tt0335119,Girl with a Pearl Earring,2003,16
2408,tt0172495,Gladiator,2000,303
8063,tt0097438,Gleaming the Cube,1989,6
2412,tt0104348,Glengarry Glen Ross,1992,22
8572,tt0080798,Gloria,1980,
8411,tt0097441,Glory,1989,58
8871,tt0385726,Glory Road,2006,56
2413,tt0139239,Go,1999,28
2419,tt0120684,Gods and Monsters,1998,11
6099,tt0113189,GoldenEye,1995,214
6271,tt2267998,Gone Girl,2014,178
8050,tt0187078,Gone in Sixty Seconds,2000,164
4286,tt0452625,Good Luck Chuck,2007,44
8881,tt0433383,"Good Night, and Good Luck.",2005,42
2427,tt0119217,Good Will Hunting,1997,261
4292,tt0099685,Goodfellas,1990,96
6515,tt0280707,Gosford Park,2001,63
962,tt0348836,Gothika,2003,85
2436,tt1205489,Gran Torino,2008,179
2438,tt0022958,Grand Hotel,1932,
2440,tt0338075,Grand Theft Parsons,2003,
5410,tt4270516,Grandma,2015,7
2445,tt1454468,Gravity,2013,293
8887,tt1133985,Green Lantern,2011,128
4306,tt0947810,Green Zone,2010,38
4308,tt1234654,Greenberg,2010,4
971,tt0087363,Gremlins,1984,383
973,tt0099700,Gremlins 2: The New Batch,1990,85
6140,tt0462322,Grindhouse,2007,31
974,tt0119229,Grosse Pointe Blank,1997,53
975,tt0107048,Groundhog Day,1993,148
2462,tt0113243,Hackers,1995,15
2465,tt0480687,Hall Pass,2011,49
6836,tt0077651,Halloween,1978,174
4311,tt0373883,Halloween,2007,73
4315,tt0095271,Halloween 4: The Return of Michael Myers,1988,37
6119,tt0097474,Halloween 5,1989,25
4317,tt0120694,Halloween H20: 20 Years Later,1998,102
6837,tt0082495,Halloween II,1981,79
4319,tt0220506,Halloween: Resurrection,2002,45
978,tt0113253,Halloween: The Curse of Michael Myers,1995,30
2470,tt0993842,Hanna,2011,44
2472,tt0091167,Hannah and Her Sisters,1986,94
6568,tt0212985,Hannibal,2001,253
6315,tt0367959,Hannibal Rising,2007,35
6958,tt0079268,Hanover Street,1979,
983,tt0067180,"Happy Birthday, Wanda June",1971,
